block,tenure_height,txs,read_count,read_length,runtime,write_count,write_length
173809,171900,1,0,0,0,0,0
173808,171900,2,0,0,0,0,0
173807,171900,1,0,0,0,0,0
173806,171900,1,0,0,0,0,0
173805,171900,3,0,0,0,0,0
173804,171900,2,0,0,0,0,0
173803,171900,1,0,0,0,0,0
173802,171900,3,0,0,0,0,0
173801,171900,1,0,0,0,0,0
173800,171900,1,0,0,0,0,0
173799,171900,3,0,0,0,0,0
173798,171900,1,0,0,0,0,0
173797,171900,1,0,0,0,0,0
173796,171900,2,0,0,0,0,0
173795,171900,1,0,0,0,0,0
173794,171900,1,0,0,0,0,0
173793,171900,2,0,0,0,0,0
173792,171900,1,0,0,0,0,0
173791,171900,2,0,0,0,0,0
173790,171900,1,0,0,0,0,0
173789,171900,2,0,0,0,0,0
173788,171900,1,0,0,0,0,0
173787,171900,2,0,0,0,0,0
173786,171900,2,0,0,0,0,0
173785,171900,4,0,0,0,0,0
173784,171900,1,0,0,0,0,0
173783,171900,1,0,0,0,0,0
173782,171900,1,0,0,0,0,0
173781,171900,2,0,0,0,0,0
173780,171900,1,0,0,0,0,0
173779,171900,1,0,0,0,0,0
173778,171900,2,0,0,0,0,0
173777,171900,1,0,0,0,0,0
173776,171900,1,0,0,0,0,0
173775,171900,1,0,0,0,0,0
173774,171900,1,0,0,0,0,0
173773,171900,1,0,0,0,0,0
173772,171900,1,0,0,0,0,0
173771,171900,1,0,0,0,0,0
173770,171900,1,0,0,0,0,0
173769,171900,1,0,0,0,0,0
173768,171900,1,0,0,0,0,0
173767,171900,1,0,0,0,0,0
173766,171900,1,0,0,0,0,0
173765,171900,1,0,0,0,0,0
173764,171900,2,0,0,0,0,0
173763,171900,1,0,0,0,0,0
173762,171900,1,0,0,0,0,0
173761,171900,2,6,13939,46110,1,125
173760,171900,1,0,0,0,0,0
173759,171900,1,0,0,0,0,0
173758,171900,1,0,0,0,0,0
173757,171900,3,0,0,0,0,0
173756,171900,1,5,2268,5456,2,1
173755,171900,2,0,0,0,0,0
173754,171900,1,0,0,0,0,0
173753,171900,1,0,0,0,0,0
173752,171900,1,0,0,0,0,0
173751,171900,1,0,0,0,0,0
173750,171900,1,6,13939,46110,1,125
173749,171900,3,0,0,0,0,0
173748,171900,1,5,4008,7196,2,1
173747,171900,1,6,9516,16221,1,1
173746,171900,1,0,0,0,0,0
173745,171900,1,0,0,0,0,0
173744,171900,1,0,0,0,0,0
173743,171900,48,1126,738402,6904446,173,3373
173742,171900,159,5099,3353488,30029739,768,15697
173741,171900,179,8745,5014573,40311414,1342,29468
173740,171900,2,0,0,0,0,0
173739,171899,1,0,0,0,0,0
173738,171899,1,0,0,0,0,0
173737,171899,2,0,0,0,0,0
173736,171899,2,0,0,0,0,0
173735,171899,1,0,0,0,0,0
173734,171899,1,0,0,0,0,0
173733,171899,2,0,0,0,0,0
173732,171899,1,0,0,0,0,0
173731,171899,2,0,0,0,0,0
173730,171899,2,0,0,0,0,0
173729,171899,4,0,0,0,0,0
173728,171899,2,4,76974,84890,1,105
173727,171899,2,0,0,0,0,0
173726,171899,1,0,0,0,0,0
173725,171899,1,0,0,0,0,0
173724,171899,1,0,0,0,0,0
173723,171899,1,6,77124,93646,1,37
173722,171899,1,0,0,0,0,0
173721,171899,1,0,0,0,0,0
173720,171899,1,0,0,0,0,0
173719,171899,2,0,0,0,0,0
173718,171899,2,0,0,0,0,0
173717,171899,1,0,0,0,0,0
173716,171899,1,0,0,0,0,0
173715,171899,2,0,0,0,0,0
173714,171899,1,0,0,0,0,0
173713,171899,2,0,0,0,0,0
173712,171899,1,0,0,0,0,0
173711,171899,1,0,0,0,0,0
173710,171899,1,0,0,0,0,0
173709,171899,2,0,0,0,0,0
173708,171899,2,0,0,0,0,0
173707,171899,1,0,0,0,0,0
173706,171899,1,0,0,0,0,0
173705,171899,1,0,0,0,0,0
173704,171899,1,0,0,0,0,0
173703,171899,1,0,0,0,0,0
173702,171899,1,0,0,0,0,0
173701,171899,1,0,0,0,0,0
173700,171899,1,0,0,0,0,0
173699,171899,1,0,0,0,0,0
173698,171899,2,0,0,0,0,0
173697,171899,1,0,0,0,0,0
173696,171899,1,0,0,0,0,0
173695,171899,1,0,0,0,0,0
173694,171899,1,0,0,0,0,0
173693,171899,2,0,0,0,0,0
173692,171899,1,0,0,0,0,0
173691,171899,2,89,52134,469308,14,305
173690,171899,2,33,20556,210489,5,102
173689,171899,1,0,0,0,0,0
173688,171899,1,4,9474,11591,1,2
173687,171899,5,50,81805,500265,9,523
173686,171899,2,33,58605,186594,8,392
173685,171899,3,324,665057,1908021,24,2387
173684,171899,2,44,83435,595969,6,537
173683,171899,5,38,29175,155179,12,143
173682,171899,4,27,17156,85914,8,40
173681,171899,6,1186,112233,21117001,7,748
173680,171899,40,4526,6517744,54729445,346,18608
173679,171899,39,5362,7514981,85784067,185,24849
173678,171899,36,2506,3844087,61931582,205,19773
173677,171899,62,758,1594220,4666100,126,4947
173676,171899,2,0,0,0,0,0
173675,171898,1,0,0,0,0,0
173674,171898,2,0,0,0,0,0
173673,171898,2,0,0,0,0,0
173672,171898,1,0,0,0,0,0
173671,171898,1,0,0,0,0,0
173670,171898,2,0,0,0,0,0
173669,171898,1,0,0,0,0,0
173668,171898,1,0,0,0,0,0
173667,171898,1,0,0,0,0,0
173666,171898,1,0,0,0,0,0
173665,171898,1,0,0,0,0,0
173664,171898,1,0,0,0,0,0
173663,171898,1,0,0,0,0,0
173662,171898,1,0,0,0,0,0
173661,171898,1,0,0,0,0,0
173660,171898,1,0,0,0,0,0
173659,171898,1,0,0,0,0,0
173658,171898,1,0,0,0,0,0
173657,171898,1,0,0,0,0,0
173656,171898,1,0,0,0,0,0
173655,171898,2,0,0,0,0,0
173654,171898,1,0,0,0,0,0
173653,171898,3,0,0,0,0,0
173652,171898,1,0,0,0,0,0
173651,171898,1,0,0,0,0,0
173650,171898,1,0,0,0,0,0
173649,171898,2,0,0,0,0,0
173648,171898,1,0,0,0,0,0
173647,171898,1,0,0,0,0,0
173646,171898,1,0,0,0,0,0
173645,171898,1,0,0,0,0,0
173644,171898,1,0,0,0,0,0
173643,171898,1,0,0,0,0,0
